id_beneficiaire,nom,sexe,age,region,province,statut,taille_menage,type_aide,montant_fcfa,nb_distributions,score_vulnerabilite,mois
388,Drissa Coulibaly,Masculin,31.0,Sahel,Soum,Réfugié,1,Aide alimentaire,38516.0,6,65,6
496,Oumarou Sawadogo,Masculin,33.0,Centre,Kadiogo,Communauté hôte,11,Kit de survie,67668.0,6,45,3
433,Rokia Traore,Féminin,50.0,Centre,Ganzourgou,Communauté hôte,4,Kit de survie,68291.0,7,38,6
2059,Assita Toe,Féminin,34.0,Boucle du Mouhoun,Banwa,Réfugié,3,Aide alimentaire,56032.0,6,62,5
928,Maimouna Traore,Féminin,21.0,Centre,Oubritenga,Communauté hôte,11,Soutien médical,42876.0,2,59,10
2593,Mariam Tapsoba,Féminin,71.0,Nord,Zondoma,Retourné,11,Soutien médical,43678.0,3,77,10
803,Mariam Ouedraogo,Féminin,32.0,Centre,Kadiogo,Communauté hôte,4,Aide alimentaire,51981.0,6,44,4
1378,Zeinabou Zongo,Féminin,61.0,Nord,Loroum,Communauté hôte,8,Aide alimentaire,74799.0,5,72,7
2008,Aminata Zongo,Féminin,50.0,Boucle du Mouhoun,Banwa,Réfugié,4,Aide alimentaire,41066.0,1,61,7
1095,Rasmane Zongo,Masculin,22.0,Est,Gnagna,Déplacé interne,4,Aide alimentaire,30563.0,3,76,5
1565,Safi Tapsoba,Féminin,52.0,Centre,Kadiogo,Réfugié,1,Kit de survie,85605.0,4,55,11
2777,Rasmane Zongo,Masculin,50.0,Est,Tapoa,Déplacé interne,4,Kit de survie,,2,70,6
431,Souleymane Ouedraogo,Masculin,44.0,Sahel,Soum,Communauté hôte,9,Soutien médical,17413.0,2,63,2
603,Adama Sawadogo,Masculin,23.0,Boucle du Mouhoun,Banwa,Déplacé interne,10,Abri d'urgence,92908.0,6,80,3
297,Salamata Coulibaly,Féminin,24.0,Boucle du Mouhoun,Mouhoun,Déplacé interne,8,Kit de survie,103874.0,7,88,12
2679,Souleymane Diallo,Masculin,32.0,Nord,Loroum,Réfugié,2,Kit de survie,37708.0,2,61,5
2229,Issouf Toe,Masculin,49.0,Est,Gourma,Retourné,2,Aide alimentaire,39261.0,7,55,5
1091,Rokia Kabore,Féminin,27.0,Nord,Zondoma,Communauté hôte,10,Aide alimentaire,58308.0,6,48,9
1539,Yacouba Zongo,Masculin,20.0,Sahel,Soum,Déplacé interne,5,Kit de survie,89439.0,5,92,1
545,Clarisse Ouedraogo,Féminin,29.0,Sahel,Soum,Retourné,1,Soutien médical,35353.0,4,53,10
1522,Assita Coulibaly,Féminin,44.0,Boucle du Mouhoun,Mouhoun,Retourné,7,Aide alimentaire,39722.0,5,65,6
1561,Salif Coulibaly,Masculin,150.0,Centre,Kadiogo,Réfugié,1,Aide alimentaire,50271.0,6,59,11
2271,Souleymane Ilboudo,Masculin,25.0,Est,Gnagna,Déplacé interne,7,Aide alimentaire,41517.0,4,88,4
1653,Souleymane Kabore,Masculin,21.0,Nord,Zondoma,Retourné,6,Kit de survie,101976.0,7,78,7
2032,Zeinabou Tapsoba,Féminin,57.0,Est,,Réfugié,4,Aide alimentaire,69231.0,2,81,3
195,Boureima Traore,Masculin,31.0,Centre,Kadiogo,Retourné,1,Aide alimentaire,58710.0,7,36,1
2404,Oumarou Sawadogo,Masculin,23.0,Est,Gourma,Communauté hôte,10,Soutien médical,23028.0,6,78,3
1356,Aminata Ouedraogo,Féminin,68.0,Centre,Ganzourgou,Réfugié,7,Kit de survie,74478.0,1,91,3
1603,Rasmane Tapsoba,Masculin,57.0,Centre,Ganzourgou,Communauté hôte,10,Aide alimentaire,45169.0,5,58,4
1562,Hamidou Dabre,Masculin,66.0,Est,Gourma,Réfugié,9,Aide alimentaire,38624.0,3,100,11
582,Kadiatou Diallo,Féminin,21.0,Sahel,Séno,Déplacé interne,9,Soutien médical,29123.0,3,94,3
2683,Drissa Ilboudo,Masculin,74.0,Sahel,Soum,Communauté hôte,6,Aide alimentaire,11641.0,2,89,12
930,Salif Ouedraogo,Masculin,66.0,Est,Gnagna,Déplacé interne,3,Kit de survie,88965.0,7,86,11
768,Fatima Sawadogo,Féminin,55.0,Est,Gnagna,Déplacé interne,8,Aide alimentaire,52065.0,5,82,4
1495,Haoua Kabore,Féminin,48.0,Sahel,Oudalan,Déplacé interne,11,Soutien médical,27994.0,7,91,7
1056,Rasmane Kone,Masculin,29.0,Centre,Oubritenga,Déplacé interne,2,Aide alimentaire,30445.0,2,53,12
1872,Hamidou Dabre,Masculin,56.0,Nord,Yatenga,Communauté hôte,1,Soutien médical,27917.0,6,28,12
2795,Adama Nana,Masculin,29.0,Sahel,Oudalan,Déplacé interne,2,Aide alimentaire,40930.0,5,64,6
1579,Haoua Sanon,Féminin,18.0,Centre,Oubritenga,Réfugié,4,Aide alimentaire,40010.0,3,79,10
33,Yacouba Diallo,Masculin,,Centre,Oubritenga,Réfugié,9,Aide alimentaire,64248.0,4,94,11
1125,Aminata Sawadogo,Féminin,18.0,Boucle du Mouhoun,Banwa,Communauté hôte,8,Abri d'urgence,104789.0,1,65,3
68,Aminata Ouedraogo,Féminin,38.0,Nord,Loroum,Communauté hôte,7,Kit de survie,52357.0,1,58,8
2273,Fatima Tapsoba,Féminin,27.0,Sahel,Oudalan,Communauté hôte,9,Kit de survie,65128.0,6,65,8
1314,Zeinabou Traore,Féminin,64.0,Centre,Oubritenga,Déplacé interne,10,Kit de survie,79898.0,3,85,7
1608,Rokia Sanon,Féminin,35.0,Centre,Kadiogo,Communauté hôte,3,Aide alimentaire,61767.0,4,31,6
1967,Yacouba Zongo,Masculin,53.0,Nord,Loroum,Communauté hôte,2,Aide alimentaire,47157.0,1,27,7
2702,Fatoumata Sanon,Féminin,60.0,Centre,Oubritenga,Communauté hôte,1,Abri d'urgence,146934.0,2,52,11
2511,Issouf Toe,Masculin,54.0,Sahel,Soum,Réfugié,4,Aide alimentaire,31794.0,7,82,4
1984,Maimouna Coulibaly,Féminin,49.0,Sahel,Soum,Réfugié,1,Aide alimentaire,43203.0,2,72,10
299,Fatima Traore,Féminin,27.0,Centre,Ganzourgou,Déplacé interne,6,Abri d'urgence,119202.0,1,71,10
1721,Ibrahim Zongo,Masculin,72.0,Nord,Loroum,Déplacé interne,4,Aide alimentaire,51101.0,3,76,11
942,Salamata Nana,Féminin,,Nord,Yatenga,Communauté hôte,5,Aide alimentaire,56645.0,6,40,10
841,Ibrahim Diallo,Masculin,72.0,Centre,Ganzourgou,Déplacé interne,7,Aide alimentaire,47893.0,3,99,9
1006,Clarisse Zongo,Féminin,42.0,Boucle du Mouhoun,Mouhoun,Déplacé interne,10,Kit de survie,89048.0,3,75,8
319,Issouf Bambara,Masculin,37.0,Centre,Ganzourgou,Déplacé interne,4,Soutien médical,44665.0,4,64,12
1432,Salamata Sawadogo,Féminin,19.0,Est,Tapoa,Communauté hôte,9,Kit de survie,67997.0,7,67,8
2184,Mamadou Toe,Masculin,48.0,Nord,Yatenga,Communauté hôte,10,Soutien médical,33435.0,3,59,6
2750,Maimouna Ilboudo,Féminin,49.0,Centre,,Communauté hôte,7,Kit de survie,74613.0,2,45,6
2459,Maimouna Kabore,Féminin,69.0,Sahel,Oudalan,Communauté hôte,5,Kit de survie,89133.0,1,76,10
1526,Ibrahim Sanon,Masculin,44.0,Boucle du Mouhoun,Nayala,Communauté hôte,5,Soutien médical,27596.0,1,53,9
2346,Mariam Tapsoba,Féminin,74.0,Nord,Yatenga,Réfugié,8,Kit de survie,81905.0,5,100,8
310,Boureima Sawadogo,Masculin,46.0,Est,Gnagna,Réfugié,8,Kit de survie,62202.0,7,87,5
1790,Binta Toe,Féminin,63.0,Est,Gnagna,Déplacé interne,4,Aide alimentaire,58831.0,7,93,12
499,Rokia Sawadogo,Féminin,61.0,Sahel,Oudalan,Déplacé interne,4,Abri d'urgence,135827.0,1,100,7
1953,Assita Nana,Féminin,66.0,Est,Gourma,Retourné,9,Soutien médical,39755.0,3,97,2
1821,Souleymane Ouedraogo,Masculin,67.0,Nord,Zondoma,Déplacé interne,1,Soutien médical,33376.0,2,66,8
929,Safi Traore,Féminin,69.0,Centre,Ganzourgou,Déplacé interne,8,Aide alimentaire,42598.0,4,97,3
1934,Fatoumata Dabre,Féminin,69.0,Boucle du Mouhoun,Mouhoun,Réfugié,11,Aide alimentaire,33195.0,2,97,8
2638,Salamata Tapsoba,Féminin,45.0,Nord,Loroum,Réfugié,10,Abri d'urgence,92498.0,3,80,5
197,Kadiatou Traore,Féminin,64.0,Centre,Ganzourgou,Retourné,1,Soutien médical,23770.0,4,61,6
1001,Salif Nana,Masculin,32.0,Sahel,Séno,Réfugié,5,Kit de survie,73683.0,6,84,11
2250,Mamadou Sawadogo,Masculin,60.0,Sahel,Soum,Retourné,10,Aide alimentaire,37278.0,5,100,12
863,Binta Ouedraogo,Féminin,57.0,Centre,Oubritenga,Réfugié,5,Kit de survie,81369.0,2,76,12
1819,Assita Bambara,Féminin,48.0,Sahel,Séno,Réfugié,10,Aide alimentaire,31400.0,6,87,11
645,Boureima Kone,Masculin,73.0,Boucle du Mouhoun,Banwa,Réfugié,7,Soutien médical,18342.0,7,100,5
31,Fatoumata Coulibaly,Féminin,18.0,Sahel,Oudalan,Déplacé interne,10,Kit de survie,74892.0,1,92,3
440,Issouf Toe,Masculin,,Est,Tapoa,Déplacé interne,9,Aide alimentaire,34320.0,5,85,4
2130,Souleymane Coulibaly,Masculin,40.0,Boucle du Mouhoun,Nayala,Réfugié,11,Abri d'urgence,83126.0,2,83,1
2368,Binta Sanon,Féminin,56.0,Centre,Ganzourgou,Retourné,8,Aide alimentaire,41992.0,2,60,12
569,Maimouna Kone,Féminin,37.0,Centre,Ganzourgou,Réfugié,7,Aide alimentaire,41773.0,1,84,5
1584,Binta Kone,Féminin,48.0,Est,Gourma,Retourné,10,Aide alimentaire,38951.0,2,75,8
1812,Binta Diallo,Féminin,54.0,Centre,Oubritenga,Réfugié,10,Aide alimentaire,49411.0,1,82,7
1427,Adama Tapsoba,Masculin,19.0,Sahel,Oudalan,Déplacé interne,4,Kit de survie,45202.0,6,94,4
179,Aissata Kabore,Féminin,53.0,Est,Tapoa,Déplacé interne,5,Aide alimentaire,60912.0,1,74,9
860,Abdoul Toe,Masculin,29.0,Boucle du Mouhoun,Mouhoun,Réfugié,6,Soutien médical,33212.0,5,80,3
1537,Salif Sawadogo,Masculin,60.0,Est,Gourma,Communauté hôte,8,Aide alimentaire,36771.0,6,87,1
1737,Mamadou Dabre,Masculin,34.0,Sahel,Soum,Déplacé interne,9,Soutien médical,36351.0,5,85,5
2376,Issouf Toe,Masculin,63.0,Nord,Yatenga,Déplacé interne,9,Aide alimentaire,47140.0,3,87,1
2173,Ibrahim Sawadogo,Masculin,43.0,Sahel,Soum,Déplacé interne,8,Aide alimentaire,57199.0,6,89,9
2410,Ibrahim Traore,Masculin,64.0,Centre,Kadiogo,Déplacé interne,6,Aide alimentaire,36269.0,4,88,10
1796,Oumarou Ouedraogo,Masculin,60.0,Est,Tapoa,Réfugié,2,Kit de survie,70690.0,2,93,9
2398,Rasmane Diallo,Masculin,65.0,Centre,Kadiogo,Déplacé interne,6,Aide alimentaire,40213.0,6,94,4
1949,Abdoul Ilboudo,Masculin,21.0,Sahel,Séno,Communauté hôte,4,Abri d'urgence,141238.0,2,71,3
74,Clarisse Diallo,Féminin,72.0,Sahel,Séno,Communauté hôte,8,Aide alimentaire,43726.0,6,85,11
1767,Maimouna Kabore,Féminin,38.0,Sahel,Soum,Déplacé interne,10,Kit de survie,58236.0,5,85,5
64,Moussa Nana,Masculin,69.0,Est,Tapoa,Communauté hôte,1,Aide alimentaire,63489.0,1,55,8
1358,Drissa Kabore,Masculin,66.0,Nord,Yatenga,Déplacé interne,3,Kit de survie,89198.0,4,75,3
212,Safi Coulibaly,Féminin,41.0,Sahel,Soum,Communauté hôte,7,Aide alimentaire,47897.0,3,68,2
46,Maimouna Diallo,Féminin,,Sahel,Oudalan,Réfugié,11,Kit de survie,79064.0,2,100,2
1392,Souleymane Dabre,Masculin,63.0,Nord,Zondoma,Déplacé interne,4,Kit de survie,91289.0,5,86,9
2165,Mamadou Ilboudo,Masculin,72.0,Sahel,Oudalan,Retourné,4,Abri d'urgence,95861.0,6,83,5
1374,Mariam Ilboudo,Féminin,56.0,Sahel,Oudalan,Réfugié,6,Soutien médical,43055.0,2,89,2
1178,Mamadou Ilboudo,Masculin,62.0,Sahel,Oudalan,Communauté hôte,10,Kit de survie,88070.0,7,90,6
81,Maimouna Nana,Féminin,66.0,Sahel,Séno,Déplacé interne,11,Aide alimentaire,57345.0,7,100,11
2444,Aissata Tapsoba,Féminin,33.0,Boucle du Mouhoun,Mouhoun,Réfugié,7,Kit de survie,76952.0,4,82,12
2715,Ibrahim Kabore,Masculin,61.0,Centre,Ganzourgou,Déplacé interne,9,Abri d'urgence,97461.0,6,98,10
1489,Drissa Traore,Masculin,45.0,Sahel,Soum,Réfugié,11,Aide alimentaire,53718.0,4,99,3
977,Safi Coulibaly,Féminin,50.0,Nord,Loroum,Communauté hôte,5,Abri d'urgence,127754.0,7,45,8
480,Fatima Kone,Féminin,43.0,Nord,Zondoma,Réfugié,1,Kit de survie,86464.0,7,53,7
2649,Seydou Dabre,Masculin,23.0,Sahel,Séno,Réfugié,8,Soutien médical,24796.0,3,100,3
1413,Oumarou Sanon,Masculin,19.0,Sahel,Séno,Déplacé interne,3,Aide alimentaire,55756.0,7,77,1
1739,Adama Ouedraogo,Masculin,45.0,Centre,Kadiogo,Réfugié,9,Abri d'urgence,89767.0,4,82,12
409,Zeinabou Zongo,Féminin,18.0,Sahel,Oudalan,Déplacé interne,5,Soutien médical,26571.0,2,88,9
1978,Abdoul Coulibaly,Masculin,23.0,Sahel,Séno,Retourné,9,Aide alimentaire,56123.0,7,91,2
1062,Haoua Tapsoba,Féminin,68.0,Est,Gnagna,Retourné,4,Aide alimentaire,29302.0,2,77,3
1468,Issouf Kone,Masculin,48.0,Centre,Ganzourgou,Déplacé interne,9,Aide alimentaire,47949.0,2,75,5
692,Seydou Toe,Masculin,68.0,Est,Tapoa,Réfugié,9,Abri d'urgence,134782.0,5,100,6
2672,Drissa Ouedraogo,Masculin,,Sahel,Soum,Réfugié,8,Kit de survie,90687.0,4,98,1
2562,Salamata Nana,Féminin,27.0,Centre,Oubritenga,Déplacé interne,6,Aide alimentaire,38311.0,3,79,6
1030,Fatoumata Tapsoba,Féminin,47.0,Centre,Ganzourgou,Déplacé interne,6,Kit de survie,,4,76,9
2692,Safi Zongo,Féminin,30.0,Nord,Zondoma,Communauté hôte,2,Abri d'urgence,126323.0,6,37,3
2489,Kadiatou Traore,Féminin,21.0,Centre,Oubritenga,Réfugié,6,Aide alimentaire,44658.0,1,89,1
600,Rasmane Sawadogo,Masculin,64.0,Est,Gnagna,Réfugié,7,Aide alimentaire,33412.0,2,100,5
2406,Fatima Diallo,Féminin,74.0,Sahel,Oudalan,Déplacé interne,3,Aide alimentaire,50617.0,5,87,3
2754,Rasmane Diallo,Masculin,20.0,Est,Tapoa,Réfugié,3,Aide alimentaire,,6,82,9
2520,Fatoumata Kone,Féminin,65.0,Est,Tapoa,Retourné,7,Aide alimentaire,44305.0,2,90,10
611,Issouf Dabre,Masculin,49.0,Sahel,Soum,Déplacé interne,2,Aide alimentaire,36015.0,5,69,4
45,Oumarou Nana,Masculin,55.0,Est,Tapoa,Déplacé interne,9,Kit de survie,76171.0,5,84,10
1408,Aissata Dabre,Féminin,39.0,Sahel,Soum,Communauté hôte,2,Soutien médical,27399.0,6,51,4
461,Salif Dabre,Masculin,36.0,Centre,Oubritenga,Communauté hôte,2,Kit de survie,81967.0,2,37,5
2674,Rasmane Ilboudo,Masculin,37.0,Est,Tapoa,Retourné,1,Soutien médical,19005.0,1,51,4
2109,Yacouba Toe,Masculin,61.0,Est,Gnagna,Communauté hôte,2,Abri d'urgence,145994.0,4,61,7
1361,Zeinabou Bambara,Féminin,72.0,Sahel,Soum,Communauté hôte,2,Kit de survie,80176.0,5,72,11
434,Drissa Kabore,Masculin,59.0,Centre,Ganzourgou,Réfugié,9,Abri d'urgence,150467.0,6,84,6
1518,Safi Bambara,Féminin,66.0,Centre,Oubritenga,Retourné,9,Aide alimentaire,49105.0,4,86,2
1747,Mamadou Coulibaly,Masculin,63.0,Centre,Kadiogo,Communauté hôte,10,Aide alimentaire,59588.0,1,75,1
332,Haoua Coulibaly,Féminin,34.0,Nord,Yatenga,Déplacé interne,5,Aide alimentaire,24908.0,4,66,5
412,Fatima Tapsoba,Féminin,24.0,Est,Tapoa,Déplacé interne,2,Kit de survie,98482.0,5,72,4
94,Zeinabou Bambara,Féminin,69.0,Est,Tapoa,Réfugié,5,Aide alimentaire,69630.0,7,100,7
2430,Maimouna Ilboudo,Féminin,50.0,Est,,Réfugié,1,Kit de survie,65445.0,7,66,4
176,Mamadou Zongo,Masculin,45.0,Centre,Oubritenga,Déplacé interne,3,Aide alimentaire,38461.0,7,57,5
773,Boureima Sanon,Masculin,72.0,Nord,Yatenga,Déplacé interne,1,Aide alimentaire,40134.0,7,62,8
437,Issouf Tapsoba,Masculin,73.0,Centre,Kadiogo,Déplacé interne,8,Soutien médical,25886.0,4,96,3
1242,Fatoumata Toe,Féminin,23.0,Sahel,Séno,Retourné,1,Aide alimentaire,30296.0,3,67,5
2771,Yacouba Kabore,Masculin,69.0,Boucle du Mouhoun,Nayala,Déplacé interne,2,Aide alimentaire,31808.0,6,79,8
458,Yacouba Ouedraogo,Masculin,43.0,Centre,,Déplacé interne,10,Aide alimentaire,43171.0,7,75,8
1363,Mariam Ouedraogo,Féminin,32.0,Sahel,Séno,Réfugié,4,Aide alimentaire,57113.0,7,78,11
565,Mamadou Tapsoba,Masculin,48.0,Boucle du Mouhoun,Nayala,Réfugié,8,Aide alimentaire,45308.0,5,82,2
832,Rasmane Diallo,Masculin,47.0,Centre,Oubritenga,Réfugié,2,Aide alimentaire,20786.0,6,64,2
519,Assita Ilboudo,Féminin,26.0,Nord,Zondoma,Réfugié,1,Aide alimentaire,57850.0,5,55,8
573,Abdoul Zongo,Masculin,35.0,Sahel,Oudalan,Communauté hôte,1,Kit de survie,91784.0,5,35,5
2474,Binta Traore,Féminin,71.0,Nord,Zondoma,Communauté hôte,8,Aide alimentaire,42259.0,1,67,3
2293,Salif Nana,Masculin,37.0,Nord,Loroum,Communauté hôte,4,Aide alimentaire,55967.0,3,39,1
508,Clarisse Sawadogo,Féminin,28.0,Centre,Oubritenga,Communauté hôte,1,Soutien médical,29246.0,2,30,9
369,Seydou Sawadogo,Masculin,36.0,Nord,Yatenga,Déplacé interne,2,Aide alimentaire,50598.0,6,48,5
2326,Safi Coulibaly,Féminin,46.0,Est,Gourma,Retourné,11,Soutien médical,34355.0,3,75,12
1454,Mariam Dabre,Féminin,57.0,Sahel,Soum,Retourné,1,Aide alimentaire,46509.0,7,51,4
240,Drissa Traore,Masculin,33.0,Sahel,Soum,Communauté hôte,1,Abri d'urgence,114560.0,6,39,2
2292,Boureima Bambara,Masculin,50.0,Centre,Kadiogo,Communauté hôte,4,Aide alimentaire,36229.0,5,37,3
2513,Hamidou Tapsoba,Masculin,47.0,Boucle du Mouhoun,Banwa,Réfugié,1,Aide alimentaire,42763.0,7,47,3
451,Salamata Zongo,Féminin,27.0,Sahel,Soum,Réfugié,4,Kit de survie,93111.0,6,84,4
1832,Salamata Toe,Féminin,,Sahel,Soum,Réfugié,6,Aide alimentaire,48771.0,1,100,12
2644,Salamata Kabore,Féminin,25.0,Boucle du Mouhoun,Mouhoun,Réfugié,7,Abri d'urgence,110406.0,1,86,1
1467,Clarisse Nana,Féminin,67.0,Est,Gnagna,Déplacé interne,2,Aide alimentaire,52513.0,5,83,5
1733,Assita Bambara,Féminin,59.0,Centre,Ganzourgou,Retourné,3,Soutien médical,42233.0,3,42,7
1870,Maimouna Traore,Féminin,73.0,Est,Tapoa,Déplacé interne,5,Kit de survie,72186.0,2,90,2
1487,Boureima Ouedraogo,Masculin,50.0,Nord,Zondoma,Déplacé interne,7,Aide alimentaire,46722.0,3,73,9
1299,Haoua Kone,Féminin,36.0,Sahel,Séno,Communauté hôte,2,Aide alimentaire,65347.0,4,48,7
1868,Boureima Tapsoba,Masculin,66.0,Nord,Zondoma,Communauté hôte,10,Aide alimentaire,49791.0,1,74,10
1260,Aminata Kone,Féminin,63.0,Boucle du Mouhoun,Banwa,Déplacé interne,7,Abri d'urgence,117571.0,5,95,10
464,Assita Coulibaly,Féminin,34.0,Centre,Ganzourgou,Déplacé interne,1,Aide alimentaire,49704.0,7,41,11
595,Fatima Nana,Féminin,67.0,Boucle du Mouhoun,Mouhoun,Retourné,2,Soutien médical,40669.0,3,67,11
544,Clarisse Nana,Féminin,48.0,Centre,Oubritenga,Communauté hôte,10,Soutien médical,36260.0,1,48,1
411,Oumarou Diallo,Masculin,21.0,Centre,Oubritenga,Déplacé interne,9,Abri d'urgence,110692.0,7,81,8
71,Aissata Toe,Féminin,68.0,Nord,Loroum,Communauté hôte,9,Aide alimentaire,66427.0,7,78,1
880,Boureima Kabore,Masculin,58.0,Sahel,Soum,Déplacé interne,9,Aide alimentaire,44048.0,3,81,11
2565,Hamidou Ouedraogo,Masculin,39.0,Sahel,Soum,Communauté hôte,9,Soutien médical,34582.0,7,67,1
487,Salif Ouedraogo,Masculin,54.0,Sahel,Oudalan,Déplacé interne,11,Soutien médical,35628.0,3,87,2
1766,Moussa Ouedraogo,Masculin,67.0,Nord,Yatenga,Réfugié,9,Aide alimentaire,39296.0,7,99,2
57,Boureima Coulibaly,Masculin,38.0,Centre,Oubritenga,Retourné,3,Soutien médical,21263.0,3,46,6
